Step,q1,q2,q3,q4,q5
0,-0.00190566,-56.4686,31.6863,89.9467,0.00472445
0.1,-0.000479275,-56.4853,31.8115,89.8034,0.00807453
0.2,0.00380082,-56.5354,32.1899,89.3746,0.0181256
0.3,0.0109375,-56.6188,32.8216,88.6602,0.0348764
0.4,0.0209212,-56.7355,33.6866,87.6602,0.0583267
0.5,0.0337618,-56.8855,34.8049,86.3746,0.0884768
0.6,0.0494593,-57.0688,36.1765,84.8034,0.125377
0.7,0.0680138,-57.2854,37.8014,82.9467,0.168927
0.8,0.0894251,-57.5353,39.6797,80.8034,0.219128
0.9,0.111093,-57.8185,41.6012,78.5746,0.269978
1,0.129867,-58.0231,43.247,76.6188,0.314078
1.1,0.145788,-58.2073,44.6516,75.1218,0.351478
1.2,0.15885,-58.3705,45.8148,73.8034,0.38223
1.3,0.169055,-58.5129,46.7367,72.7602,0.406333
1.4,0.176402,-58.6344,47.3372,72.0602,0.423537
1.5,0.180891,-58.7351,47.7363,71.5746,0.434192
1.6,0.182623,-58.8149,47.8939,71.4034,0.438099
1.6086,0.182633,-58.8155,47.8948,71.4023,0.438124
